group	size	hub	hub_count	group_count	out_hub_degree
1	56	GBC899531	448842	474386	0
2	52	GBC991488	82156	87392	0
3	52	GBC515721	65708	70149	0
4	50	GBC338755	59365	64051	0
5	51	GBC702778	54787	58563	0
6	52	GBC118869	48642	52555	0
7	52	GBC226266	37515	41517	0
8	51	GBC842903	29975	31901	0
9	50	GBC561783	26202	28164	0
10	50	GBC417992	18365	19821	0
11	47	GBC32828	13378	14449	0
12	48	GBC155172	12620	13787	0
13	45	GBC539360	11681	12619	0
14	41	GBC582803	10725	11570	0
15	37	GBC1163082	6609	7324	0
16	46	GBC914022	6652	7256	0
17	38	GBC790021	6187	6479	0
18	33	GBC748636	6131	6420	0
19	33	GBC912487	5943	6336	0
20	39	GBC729342	5659	6191	0
21	43	GBC440770	4229	4693	0
22	34	GBC761910	4285	4574	0
23	26	GBC1153197	3290	3568	0
24	32	GBC230598	3031	3273	0
25	35	GBC591909	2907	3173	0
26	30	GBC7739	2947	3138	0
27	32	GBC893848	2819	3042	0
28	29	GBC589559	2743	2937	0
29	26	GBC810302	2565	2685	0
30	27	GBC547245	2457	2596	0
31	31	GBC684743	2323	2579	0
32	30	GBC1064698	2253	2528	0
33	27	GBC29526	2343	2452	0
34	28	GBC407301	2261	2452	0
35	24	GBC1101588	2176	2295	0
36	30	GBC442722	2101	2281	0
37	28	GBC623461	1936	2113	0
38	29	GBC498319	1881	2049	0
39	29	GBC489643	1801	1966	0
40	29	GBC604730	1468	1589	0
41	26	GBC370447	1284	1379	0
42	27	GBC112912	1222	1359	0
43	24	GBC749524	1147	1214	0
44	15	GBC934268	1148	1183	0
45	26	GBC511674	1038	1129	0
46	19	GBC937972	1039	1094	0
47	20	GBC67833	1024	1083	0
48	24	GBC479309	980	1068	0
49	13	GBC345969	941	970	0
50	16	GBC133438	852	908	0
51	18	GBC418976	765	817	0
52	12	GBC247807	576	616	0
53	13	GBC853365	579	613	0
54	18	GBC115322	563	609	0
55	15	GBC751115	576	608	0
56	23	GBC595382	516	567	0
57	17	GBC1132692	516	565	0
58	16	GBC770038	529	564	0
59	17	GBC189643	501	536	0
60	10	GBC974751	472	502	0
61	14	GBC870770	463	501	0
62	17	GBC1164074	440	486	0
63	18	GBC528519	441	477	0
64	13	GBC233801	418	449	0
65	14	GBC879087	410	433	0
66	13	GBC111787	392	423	0
67	14	GBC769921	376	405	0
68	9	GBC143030	354	383	0
69	12	GBC854568	347	382	0
70	11	GBC797637	348	370	0
71	12	GBC927156	339	358	0
72	15	GBC172447	302	340	0
73	11	GBC584567	307	333	0
74	14	GBC1072535	306	327	0
75	11	GBC953192	284	302	0
76	12	GBC232469	262	284	0
77	11	GBC174314	250	270	0
78	6	GBC341079	250	267	0
79	11	GBC348756	229	248	0
80	9	GBC775718	231	246	0
81	13	GBC781483	228	246	0
82	11	GBC986625	218	235	0
83	8	GBC535296	219	234	0
84	4	GBC908575	229	233	0
85	9	GBC557856	209	222	0
86	8	GBC147372	208	217	0
87	11	GBC392815	198	217	0
88	4	GBC989364	212	217	0
89	10	GBC844719	195	210	0
90	9	GBC782479	195	204	0
91	10	GBC909389	190	204	0
92	4	GBC425893	180	184	0
93	5	GBC1034736	173	178	0
94	12	GBC416924	154	167	0
95	8	GBC384620	154	163	0
96	7	GBC725534	152	161	0
97	5	GBC245959	152	157	0
98	10	GBC1110179	132	153	0
99	8	GBC440056	137	152	0
100	10	GBC560431	138	151	0
101	8	GBC554585	130	144	0
102	6	GBC180030	130	140	0
103	9	GBC598668	127	137	0
104	8	GBC246771	119	134	0
105	8	GBC1112485	124	134	0
106	7	GBC284056	127	133	0
107	8	GBC618532	120	130	0
108	9	GBC756226	114	128	0
109	5	GBC421499	120	124	0
110	6	GBC157693	117	122	0
111	7	GBC613521	108	121	0
112	6	GBC604200	106	118	0
113	6	GBC961471	108	115	0
114	6	GBC862872	105	112	0
115	7	GBC671485	102	110	0
116	8	GBC70726	99	109	0
117	7	GBC603979	92	106	0
118	3	GBC978753	103	105	0
119	7	GBC418619	96	103	0
120	6	GBC400400	95	101	0
121	4	GBC390283	95	98	0
122	7	GBC72875	84	95	0
123	6	GBC946506	90	95	0
124	3	GBC333860	91	94	0
125	7	GBC200885	86	93	0
126	3	GBC977323	90	93	0
127	2	GBC26887	88	89	0
128	3	GBC876681	85	89	0
129	8	GBC527469	80	88	0
130	6	GBC180972	78	84	0
131	7	GBC948595	76	83	0
132	5	GBC876568	77	82	0
133	7	GBC349927	74	80	0
134	5	GBC816522	75	80	0
135	6	GBC1081659	71	79	0
136	7	GBC519876	69	78	0
137	5	GBC1136960	73	77	0
138	4	GBC888924	71	75	0
139	7	GBC686881	66	74	0
140	7	GBC247026	65	73	0
141	7	GBC536536	66	73	0
142	3	GBC578080	69	72	0
143	4	GBC450531	68	71	0
144	5	GBC1097326	66	70	0
145	3	GBC620127	66	69	0
146	2	GBC163914	67	68	0
147	7	GBC463912	60	68	0
148	7	GBC514313	59	68	0
149	5	GBC1080887	62	67	0
150	8	GBC898996	49	66	2
151	6	GBC522216	60	65	0
152	3	GBC686195	62	65	0
153	5	GBC1121314	61	65	0
154	8	GBC590462	57	64	0
155	2	GBC232176	60	63	0
156	10	GBC876475	52	63	0
157	6	GBC683400	55	62	0
158	4	GBC1026406	58	62	0
159	6	GBC46071	55	61	0
160	3	GBC340889	59	61	0
161	6	GBC474016	54	61	0
162	3	GBC229196	58	60	0
163	4	GBC469303	54	60	0
164	6	GBC927727	55	60	0
165	3	GBC954196	56	60	0
166	5	GBC1012325	54	60	0
167	2	GBC12768	58	59	0
168	3	GBC413559	57	59	0
169	6	GBC637739	54	59	0
170	7	GBC709231	53	59	0
171	4	GBC1019135	56	59	0
172	5	GBC942781	53	58	0
173	3	GBC1104790	56	58	0
174	6	GBC853789	52	57	0
175	3	GBC979083	55	57	0
176	4	GBC1069180	53	57	0
177	5	GBC546890	52	56	0
178	1	GBC792192	56	56	0
179	5	GBC846994	50	56	0
180	5	GBC574879	49	55	0
181	3	GBC108552	51	53	0
182	5	GBC890098	49	53	0
183	2	GBC186738	49	52	0
184	2	GBC429922	51	52	0
185	4	GBC409629	47	51	0
186	4	GBC654207	47	50	0
